StudyHours,Attendance,PreviousScore,SleepHours,FinalScore
6.1,97.4,50.8,7.1,68.3
6.1,81.0,60.1,8.7,67.4
5.3,65.2,78.5,7.0,69.5
1.7,59.4,52.2,9.0,51.9
7.7,61.6,81.8,8.4,77.9
3.6,65.6,82.4,5.8,68.2
2.5,61.9,67.8,8.7,59.0
1.3,63.0,45.3,5.5,45.0
5.7,67.3,57.9,8.3,62.7
6.4,62.5,72.8,6.5,70.2
1.1,93.6,89.2,8.5,74.9
5.1,58.5,73.4,8.5,65.0
2.8,77.6,56.7,8.2,61.3
6.2,72.6,73.5,8.2,71.2
2.4,97.2,69.3,6.2,67.3
6.5,59.8,80.1,5.3,70.8
4.1,72.1,49.8,6.6,59.8
8.5,96.7,79.2,5.7,81.9
2.1,92.2,69.4,7.8,64.6
3.7,90.1,88.3,6.4,75.3
1.9,66.1,60.4,8.9,55.8
8.4,62.3,73.5,7.6,76.4
8.0,83.8,86.9,8.3,81.1
3.1,95.0,49.6,5.5,54.0
6.3,78.9,87.2,8.4,77.9
7.5,79.6,76.0,8.7,81.0
5.4,67.0,48.1,6.9,60.8
5.2,88.1,58.5,7.4,65.8
2.9,63.0,76.9,8.1,64.1
1.7,68.9,48.0,5.7,47.5
8.2,73.3,71.2,7.0,77.5
8.2,76.8,60.6,6.6,67.8
6.1,65.4,72.9,5.6,67.9
3.7,59.9,47.1,6.5,52.8
3.8,81.3,84.2,5.3,71.7
6.8,67.4,88.8,5.1,76.3
8.2,80.0,88.6,5.5,84.6
8.1,61.6,78.7,8.9,70.7
7.2,75.7,50.9,7.2,65.7
6.1,77.9,79.1,8.9,75.2
1.7,57.2,46.1,6.7,40.5
2.3,69.5,46.0,6.2,49.8
8.2,60.8,59.6,7.0,70.1
5.9,57.7,67.0,6.8,63.6
1.1,97.6,79.7,5.4,68.6
1.8,68.9,75.7,7.6,66.3
6.3,89.8,65.1,5.9,73.3
1.0,65.9,57.3,7.5,55.6
2.3,84.3,89.9,7.6,75.0
5.4,87.7,64.2,5.6,67.0
6.5,80.6,65.3,5.2,63.7
6.2,75.3,52.4,8.1,62.9
2.8,72.7,80.8,6.8,64.6
6.7,70.0,76.2,5.2,76.1
2.9,95.0,54.9,9.0,62.3
3.6,90.7,48.7,5.2,56.3
7.0,96.5,75.6,7.8,81.4
6.2,60.3,74.5,8.9,71.2
7.8,86.4,57.3,,73.4
6.3,95.3,87.8,5.6,79.5
5.5,62.8,51.8,5.5,56.3
1.7,57.9,64.5,6.2,51.1
3.9,86.9,87.5,5.4,70.3
3.1,79.7,63.9,7.8,60.9
3.0,91.2,73.7,5.2,66.0
8.8,61.0,62.9,7.0,68.4
4.1,89.2,57.3,9.0,63.5
8.1,63.7,89.3,8.3,78.5
6.0,62.0,63.4,7.5,64.2
7.4,62.1,85.2,6.2,72.0
5.0,90.0,55.3,7.5,66.6
5.6,83.6,54.6,7.1,64.0
4.9,77.5,46.4,6.7,53.1
2.6,70.4,74.3,5.5,60.5
6.8,92.7,61.6,8.5,71.4
3.2,71.9,83.9,6.8,69.6
1.2,90.1,66.3,5.8,62.6
6.2,73.9,88.6,6.5,72.9
2.4,71.2,53.3,6.7,53.3
8.5,74.9,84.1,8.3,82.6
8.6,68.0,79.9,7.9,81.0
8.3,87.1,79.7,8.1,83.5
4.0,76.6,83.0,5.0,67.1
1.1,65.0,79.2,6.7,59.6
8.4,93.7,73.2,6.9,78.3
4.4,71.5,50.9,5.1,57.1
8.7,78.4,46.5,6.0,64.6
8.7,94.0,86.4,8.0,93.1
7.8,81.8,72.7,5.5,74.3
3.4,60.0,80.8,7.1,63.8
4.1,95.4,66.7,5.9,63.3
7.8,82.0,50.3,5.0,59.3
3.5,69.4,50.6,6.0,49.0
2.4,61.0,75.9,8.9,64.2
5.5,89.1,64.4,8.2,71.8
8.5,81.7,54.0,8.8,67.6
6.6,77.9,67.1,7.0,72.5
5.6,93.4,47.9,5.4,59.7
1.8,88.9,71.2,7.2,64.6
5.9,61.5,57.1,6.8,64.4
8.9,68.4,80.9,8.4,83.4
2.1,65.7,59.0,5.4,51.4
5.1,87.0,65.5,7.0,66.0
8.0,56.4,45.5,5.6,51.8
6.9,79.5,48.3,6.3,60.2
6.6,87.8,62.7,7.9,71.0
6.6,92.7,66.6,6.9,70.7
3.9,69.7,72.0,6.5,63.8
3.3,90.3,58.1,6.6,61.4
7.5,59.8,76.3,6.8,71.6
7.5,91.4,83.7,8.1,82.4
7.9,60.5,80.1,8.6,77.5
8.3,72.1,46.8,8.8,66.8
5.1,89.3,66.6,8.1,67.8
5.0,61.4,49.7,6.3,58.0
7.4,64.9,55.9,7.8,64.8
6.2,86.1,89.4,6.8,81.0
6.6,86.0,51.4,6.0,65.5
7.4,82.6,67.4,8.4,75.4
8.1,84.8,72.8,5.2,77.9
3.7,78.3,76.6,8.6,70.9
4.0,65.8,70.2,6.8,61.5
1.8,69.9,45.4,7.5,49.7
5.6,62.8,59.7,7.6,59.3
1.3,94.1,68.3,8.6,64.9
4.7,80.1,49.0,7.5,58.9
5.3,72.2,60.8,7.5,63.4
3.3,74.9,46.5,5.3,50.7
5.7,95.7,48.5,7.1,59.2
1.2,61.6,62.9,5.6,49.8
1.3,80.2,51.0,7.9,53.2
7.6,76.8,70.5,7.0,74.1
3.9,81.3,76.0,7.7,67.3
2.0,55.8,81.0,5.2,62.5
5.2,92.5,54.0,5.3,60.3
7.2,95.1,52.5,7.9,72.3
2.7,79.3,49.7,5.3,53.2
6.0,85.0,73.6,5.3,69.8
1.7,94.7,76.8,5.0,69.6
1.4,85.4,46.4,8.8,50.3
5.3,61.6,87.1,8.0,76.3
5.3,79.8,47.3,6.4,60.7
6.1,81.1,69.4,6.2,68.3
6.8,73.2,76.9,6.4,76.8
8.8,86.7,84.2,8.1,85.4
5.1,95.2,77.1,7.6,76.7
3.6,94.8,81.1,5.7,72.8
7.4,74.4,60.3,5.7,66.3
3.2,59.9,81.7,5.4,65.5
4.5,97.3,48.6,7.6,64.3
1.6,91.1,85.3,8.1,67.3
1.2,60.4,69.6,6.1,57.8
8.7,94.6,81.8,5.1,78.7
7.7,92.4,65.4,5.3,75.6
6.6,77.3,74.0,8.9,78.3
4.3,80.4,68.7,6.2,62.8
2.4,72.2,77.9,8.1,
2.3,57.4,48.7,7.5,45.8
3.0,69.4,47.7,6.5,50.6
5.4,89.5,56.1,5.8,63.0
6.7,55.2,52.2,5.5,58.9
6.3,69.3,84.2,7.5,79.3
3.2,72.1,54.9,8.1,60.8
8.6,78.1,88.9,7.6,83.8
6.9,94.6,60.2,7.1,71.1
5.4,69.9,53.2,5.2,53.2
5.9,69.9,80.5,8.9,73.2
4.4,86.7,74.6,8.2,74.6
3.0,74.4,67.4,6.2,64.8
3.8,64.7,70.0,8.9,61.7
7.1,74.5,77.4,7.4,74.2
1.1,61.1,55.3,7.3,49.4
1.9,62.6,89.8,8.0,68.7
1.4,76.4,88.9,8.2,67.7
1.3,73.0,74.3,7.6,62.5
7.8,94.3,54.0,5.5,67.6
6.6,70.6,75.6,6.4,71.7
4.8,80.0,48.2,8.7,61.7
1.8,82.2,46.4,5.9,50.0
4.9,55.6,56.6,6.5,55.2
4.8,83.5,65.8,6.7,66.3
2.4,62.7,84.1,6.8,64.9
4.5,96.3,77.7,7.5,74.1
4.2,61.4,78.4,8.8,67.9
5.9,72.8,64.1,6.0,69.0
6.1,58.7,60.6,5.5,61.6
1.4,97.9,61.7,5.8,58.6
4.0,76.6,89.4,8.5,77.8
6.0,80.6,46.8,7.6,60.3
5.0,57.9,84.0,6.1,71.8
7.9,87.2,71.0,8.3,79.4
6.3,64.0,64.7,8.4,66.9
2.3,93.6,77.6,8.4,71.8
1.6,63.8,66.9,8.7,54.2
6.1,63.2,84.3,6.0,69.6
1.2,56.6,85.5,8.0,60.2
5.7,75.3,64.0,6.8,66.4
8.5,79.3,57.5,8.4,76.4
5.6,57.8,71.7,7.9,72.4
4.1,88.3,86.1,8.1,78.5
6.1,74.5,54.5,7.6,64.7
4.7,77.5,73.0,5.7,62.6
5.4,74.0,73.4,7.2,68.5
8.5,72.2,78.0,8.9,78.4
4.1,79.1,50.9,8.7,58.2
8.7,61.7,77.2,5.2,73.3
8.2,62.8,85.9,5.7,76.2
2.6,92.1,53.1,5.5,51.5
1.6,95.7,55.7,7.9,61.0
1.8,71.1,88.7,8.3,66.8
1.1,66.6,53.1,5.9,48.6
1.8,82.7,83.4,7.0,73.3
6.5,72.6,67.2,8.4,68.3
1.6,56.1,56.1,7.9,44.3
3.6,61.7,84.2,7.2,67.3
7.8,85.8,65.0,7.4,76.9
1.2,83.3,68.2,7.0,65.0
7.5,56.2,61.2,6.2,60.8
3.3,64.5,71.7,7.3,63.7
1.9,64.9,52.4,7.8,50.2
6.6,83.9,62.6,8.5,71.1
6.0,55.8,88.6,7.5,81.0
8.0,59.5,56.6,8.0,62.0
6.9,89.4,74.6,5.6,75.8
7.4,62.7,59.6,6.8,66.2
3.3,83.1,79.8,5.0,70.2
2.4,65.2,50.9,6.0,50.0
7.0,59.3,88.6,7.9,78.6
7.5,65.5,65.4,9.0,70.2
8.9,86.1,55.6,5.4,70.7
4.3,91.8,48.3,6.6,58.5
4.0,90.7,52.6,8.2,63.8
7.2,72.1,68.4,5.8,68.5
3.7,83.7,60.2,7.2,63.2
8.4,63.8,82.3,7.9,79.0
7.9,67.6,64.4,7.5,73.0
4.4,93.5,56.2,5.8,62.4
7.0,55.6,72.8,6.4,63.6
7.0,58.7,76.8,8.1,75.7
1.8,63.9,52.5,7.2,48.0
8.2,56.1,52.5,5.0,58.4
5.0,62.8,46.7,8.0,53.9
7.6,80.1,78.1,5.1,79.0
3.6,73.1,74.9,8.0,62.0
8.2,93.4,66.4,5.8,83.3
4.1,90.2,83.0,8.8,79.4
1.1,69.7,81.3,6.5,62.7
8.2,66.2,71.3,6.3,72.1
1.7,71.3,84.1,5.6,64.7
3.6,80.4,54.3,6.2,58.8
,66.5,50.0,8.5,67.9
8.6,81.8,57.1,9.0,74.8
5.6,72.6,47.6,6.5,57.7
6.1,78.7,68.9,6.8,69.4
4.6,73.8,87.1,7.9,74.7
3.3,67.7,46.8,8.5,52.9
3.6,95.8,50.5,7.4,63.4
6.4,87.8,65.3,6.6,72.2
7.0,61.0,87.0,6.7,68.7
7.3,92.3,59.2,7.8,74.0
7.3,76.0,67.8,5.0,69.8
1.7,93.5,46.9,7.5,54.4
5.0,89.4,51.7,6.4,60.6
1.5,73.3,89.4,8.2,72.3
5.4,56.0,88.4,5.4,72.8
4.5,66.6,45.2,7.4,51.8
8.1,78.3,87.8,6.9,83.9
3.8,82.2,73.8,7.6,66.3
1.9,66.1,84.1,5.3,59.5
2.1,61.0,65.5,7.3,54.7
7.1,90.9,68.2,7.2,77.1
5.9,97.3,67.0,7.2,75.6
1.8,77.6,75.0,7.4,64.9
1.7,62.4,51.3,7.7,51.6
6.6,66.7,46.3,8.2,61.2
1.6,55.8,58.9,6.1,48.0
7.6,94.3,76.7,8.3,83.0
6.6,60.1,54.1,7.0,62.5
1.7,79.8,75.3,5.3,63.4
1.7,66.8,88.6,5.2,67.5
8.9,78.8,49.2,6.3,68.4
4.0,83.0,75.3,8.1,71.5
4.0,90.7,65.0,7.8,70.0
7.5,63.9,84.1,8.2,78.2
8.6,55.5,53.0,7.1,61.3
8.9,60.9,76.2,6.8,75.0
7.0,93.7,82.7,5.6,78.1
4.0,92.6,87.5,6.3,74.4
1.7,80.7,75.7,6.7,63.2
7.2,80.8,67.4,5.4,68.4
5.5,83.6,72.8,5.9,69.6
4.4,62.5,84.1,7.4,65.4
8.3,94.3,70.7,7.9,80.8
1.9,73.0,46.4,9.0,51.9
4.9,71.5,86.9,8.7,74.0
1.1,77.3,76.0,7.6,64.4
4.7,57.0,75.4,6.7,67.2
1.5,62.2,54.7,7.5,46.6
2.0,86.7,74.6,8.1,64.9
1.9,58.6,62.7,5.5,50.0
6.2,80.9,74.3,6.6,70.4
7.0,65.6,49.8,8.4,64.4
5.7,71.7,74.6,6.5,69.2
8.7,67.4,90.0,7.3,82.6
4.0,70.3,47.2,7.4,49.4
3.3,85.9,89.0,5.7,74.6
7.9,67.8,63.3,6.4,65.4
2.8,79.4,84.2,6.3,69.2
8.7,75.5,80.2,5.1,78.7
1.1,83.5,70.5,5.1,62.0
8.8,95.3,78.2,8.3,82.2
1.3,86.5,84.5,6.1,59.7
8.1,64.2,63.2,7.1,69.4
5.2,56.3,59.7,6.2,62.6
8.9,66.3,75.0,8.8,81.6
1.6,80.6,81.4,6.0,65.6
5.4,57.2,79.3,6.7,67.0
8.8,76.3,80.9,8.5,84.8
5.2,80.7,64.6,8.4,65.9
6.0,69.4,81.8,5.7,73.3
6.6,88.1,50.4,8.2,67.7
4.6,59.6,69.5,6.8,65.3
6.0,58.2,45.3,6.9,61.6
5.7,86.3,59.6,5.5,65.9
8.2,76.3,61.5,5.3,67.6
1.4,84.6,62.8,7.9,59.4
3.2,73.7,76.3,7.0,61.6
8.6,65.6,62.5,6.7,67.8
8.1,90.2,65.2,7.9,75.5
4.6,89.4,55.7,8.1,63.3
6.0,84.9,61.8,5.6,66.8
3.2,66.7,55.2,7.4,53.4
2.5,80.4,48.3,5.5,54.3
4.7,70.5,72.2,8.0,67.9
3.8,58.9,75.1,7.6,64.2
5.7,94.4,72.9,8.8,75.9
1.6,60.9,65.9,5.3,53.3
8.8,95.9,62.1,5.2,76.7
8.9,74.2,83.9,6.1,78.8
7.3,75.2,66.3,6.0,72.6
6.8,95.8,64.2,5.4,74.6
4.4,70.9,69.8,7.8,69.9
3.0,91.2,73.7,5.2,66.0
6.9,94.6,60.2,7.1,71.1
